X_(px),Y_deviation_(px)
1665,102.338
1668,102.338
1671,102.338
1674,102.338
1677,102.338
1680,102.338
1683,102.338
1686,102.338
1689,102.338
1692,105.338
1698,105.338
1701,105.338
1704,105.338
1707,105.338
1710,105.338
1713,108.338
1716,108.338
1719,108.338
1722,108.338
1725,111.338
1728,111.338
1731,111.338
1734,111.338
1737,111.338
1740,111.338
1743,111.338
1749,111.338
1752,111.338
1755,111.338
1758,111.338
1761,111.338
1764,111.338
1764,114.338
1767,114.338
1767,117.338
1770,117.338
1773,120.338
1776,120.338
1782,123.338
1782,126.338
1785,126.338
1788,126.338
1788,129.338
1791,129.338
1794,129.338
1797,129.338
1797,132.338
1800,132.338
1803,132.338
1806,132.338
1806,135.338
1809,135.338
1812,135.338
1815,135.338
1818,135.338
1821,135.338
1824,135.338
1827,135.338
1830,135.338
1833,135.338
1836,135.338
1839,135.338
1842,135.338
1845,135.338
1848,138.338
1851,138.338
1854,138.338
1857,138.338
1860,141.338
1863,141.338
1866,141.338
1869,141.338
1872,141.338
1875,144.338
1878,144.338
1881,144.338
1884,144.338
1884,147.338
1887,147.338
1890,147.338
1893,150.338
1893,153.338
1896,153.338
1899,153.338
1902,153.338
1905,156.338
1911,156.338
1914,156.338
1917,159.338
1923,159.338
1926,159.338
1932,159.338
1938,162.338
1941,162.338
1944,162.338
1950,165.338
1953,165.338
1956,165.338
1959,165.338
1962,165.338
1965,168.338
1965,171.338
1968,171.338
1968,174.338
1971,174.338
1974,177.338
1977,177.338
1980,177.338
1983,177.338
1986,177.338
1989,177.338
1989,180.338
1992,180.338
1995,180.338
1998,180.338
2001,180.338
2004,180.338
2004,183.338
2007,183.338
2010,183.338
2013,183.338
2016,186.338
2019,186.338
2019,189.338
2025,189.338
2028,189.338
2031,189.338
2034,189.338
2040,189.338
2043,189.338
2052,189.338
2055,189.338
2058,192.338
2061,192.338
2067,192.338
2070,192.338
2073,192.338
2076,192.338
2079,192.338
2082,192.338
2085,192.338
2088,192.338
2094,195.338
2100,195.338
2103,198.338
2112,198.338
2115,198.338
2121,198.338
2127,201.338
2133,201.338
2139,204.338
2142,204.338
2148,204.338
2151,204.338
2154,207.338
2157,207.338
2163,207.338
2166,207.338
2169,207.338
2169,210.338
2172,210.338
2175,210.338
2178,210.338
2181,210.338
2184,213.338
2187,213.338
2190,213.338
2196,216.338
2199,216.338
2202,216.338
2205,216.338
2205,219.338
2208,219.338
2211,219.338
2214,219.338
2217,219.338
2220,219.338
2223,219.338
2226,219.338
2232,222.338
2238,222.338
2241,222.338
2247,222.338
2253,225.338
2259,225.338
2262,225.338
2265,228.338
2271,228.338
2274,228.338
2277,228.338
2280,228.338
2283,231.338
2286,231.338
2286,234.338
2289,237.338
2289,240.338
2292,240.338
2295,240.338
2298,243.338
2304,243.338
2307,243.338
2310,243.338
2313,243.338
2316,243.338
2319,243.338
2325,246.338
2328,246.338
2334,246.338
2337,246.338
2343,246.338
2349,246.338
2352,246.338
2355,246.338
2358,246.338
2361,246.338
2361,243.338
2364,243.338
2367,243.338
2370,243.338
2376,243.338
2379,240.338
2382,240.338
2385,240.338
2388,240.338
2391,240.338
2394,240.338
2397,240.338
2400,240.338
2403,240.338
2406,240.338
2409,240.338
2412,240.338
2415,240.338
2421,243.338
2424,243.338
2427,243.338
2433,243.338
2442,246.338
2448,246.338
2451,246.338
2457,249.338
2460,249.338
2463,252.338
2466,252.338
2469,252.338
2472,252.338
2475,252.338
2481,252.338
2484,255.338
2490,255.338
2493,255.338
2496,255.338
2499,258.338
2508,258.338
2514,258.338
2520,261.338
2526,261.338
2532,261.338
2541,264.338
2544,264.338
2550,264.338
2553,264.338
2556,264.338
2559,264.338
2562,264.338
2565,267.338
2568,267.338
2571,267.338
2574,267.338
2577,267.338
2580,267.338
2583,267.338
2586,267.338
2589,267.338
2592,267.338
2595,267.338
2598,267.338
2601,267.338
2604,267.338
2607,267.338
2610,267.338
2613,267.338
2616,267.338
2619,267.338
2622,267.338
2625,267.338
2628,270.338
2631,270.338
2637,273.338
2643,273.338
2649,273.338
2655,273.338
2661,273.338
2664,273.338
2670,273.338
2673,273.338
2676,273.338
2679,273.338
2682,273.338
2685,276.338
2691,276.338
2697,276.338
2703,279.338
2709,279.338
2712,279.338
2712,282.338
2715,285.338
2718,285.338
2721,285.338
2721,288.338
2724,288.338
2727,291.338
2730,291.338
2733,291.338
2736,294.338
2736,297.338
2739,297.338
2742,297.338
2742,300.338
2742,303.338
2745,303.338
2745,306.338
2748,306.338
2751,309.338
2754,309.338
2757,309.338
2757,312.338
2760,312.338
2763,312.338
2766,312.338
2769,312.338
2772,312.338
2778,312.338
2781,312.338
2784,312.338
2790,312.338
2793,312.338
2796,312.338
2802,312.338
2808,312.338
2814,312.338
2820,315.338
2823,315.338
2832,315.338
2838,315.338
2841,318.338
2844,321.338
2850,321.338
