X_um,Y_dev_um
1511.854951185495,16.840306834030685
1509.0655509065552,16.840306834030685
1506.2761506276152,16.840306834030685
1503.486750348675,14.050906555090657
1500.697350069735,11.261506276150628
1497.907949790795,11.261506276150628
1495.118549511855,11.261506276150628
1492.329149232915,11.261506276150628
1492.329149232915,8.4721059972106
1489.539748953975,8.4721059972106
1486.750348675035,8.4721059972106
1486.750348675035,5.682705718270571
1483.9609483960949,5.682705718270571
1481.1715481171548,5.682705718270571
1478.382147838215,2.893305439330544
1475.5927475592748,0.10390516039051603
1472.8033472803347,0.10390516039051603
1470.0139470013949,0.10390516039051603
1470.0139470013949,-2.685495118549512
1467.2245467224548,-2.685495118549512
1464.4351464435147,-2.685495118549512
1461.6457461645746,-2.685495118549512
1461.6457461645746,-5.47489539748954
1458.8563458856347,-5.47489539748954
1456.0669456066946,-5.47489539748954
1453.2775453277545,-5.47489539748954
1453.2775453277545,-8.264295676429569
1450.4881450488147,-11.053695955369596
1447.6987447698746,-11.053695955369596
1444.9093444909345,-11.053695955369596
1442.1199442119944,-11.053695955369596
1442.1199442119944,-13.843096234309623
1439.3305439330545,-13.843096234309623
1436.5411436541144,-13.843096234309623
1436.5411436541144,-16.632496513249652
1433.7517433751743,-16.632496513249652
1430.9623430962345,-16.632496513249652
1428.1729428172944,-19.421896792189678
1425.3835425383543,-19.421896792189678
1422.5941422594142,-19.421896792189678
1422.5941422594142,-22.211297071129707
1419.8047419804743,-22.211297071129707
1417.0153417015342,-22.211297071129707
1417.0153417015342,-25.000697350069736
1414.2259414225941,-25.000697350069736
1411.4365411436543,-25.000697350069736
1408.6471408647142,-25.000697350069736
1405.857740585774,-25.000697350069736
1403.068340306834,-25.000697350069736
1400.2789400278941,-25.000697350069736
1397.489539748954,-25.000697350069736
1394.700139470014,-25.000697350069736
1391.910739191074,-25.000697350069736
1389.121338912134,-25.000697350069736
1386.3319386331939,-25.000697350069736
1383.5425383542538,-25.000697350069736
1380.753138075314,-25.000697350069736
1380.753138075314,-22.211297071129707
1377.9637377963738,-22.211297071129707
1375.1743375174337,-19.421896792189678
