X_(px),Y_deviation_(px)
315.536,-0.484
316.421,-0.948
317.421,-0.948
318.421,-0.948
319.421,-0.948
320.421,-0.948
321.421,-0.948
322.421,-0.948
323.421,-0.948
324.421,-0.948
325.421,-0.948
326.421,-0.948
327.421,-0.948
328.000,-1.764
328.000,-2.764
328.000,-3.764
328.000,-4.764
328.983,-4.948
329.983,-4.948
330.983,-4.948
331.983,-4.948
332.983,-4.948
333.983,-4.948
334.983,-4.948
335.983,-4.948
336.983,-4.948
337.983,-4.948
338.983,-4.948
339.983,-4.948
340.000,-5.948
340.000,-6.948
340.000,-7.948
340.000,-8.948
341.000,-8.948
342.000,-8.948
343.000,-8.948
344.000,-8.948
345.000,-8.948
346.000,-8.948
347.000,-8.948
348.000,-8.948
349.000,-8.948
350.000,-8.948
351.000,-8.948
352.000,-8.948
353.000,-8.948
354.000,-8.948
355.000,-8.948
356.000,-8.948
357.000,-8.948
358.000,-8.948
359.000,-8.948
360.000,-8.948
361.000,-8.948
362.000,-8.948
363.000,-8.948
364.000,-8.948
365.000,-8.948
366.000,-8.948
367.000,-8.948
368.000,-8.948
369.000,-8.948
370.000,-8.948
371.000,-8.948
372.000,-8.948
373.000,-8.948
374.000,-8.948
375.000,-8.948
376.000,-8.948
376.707,-8.241
377.414,-7.534
378.121,-6.827
378.828,-6.120
379.536,-5.413
380.421,-4.948
381.421,-4.948
382.421,-4.948
383.421,-4.948
384.421,-4.948
385.421,-4.948
386.421,-4.948
387.421,-4.948
388.421,-4.948
389.421,-4.948
390.421,-4.948
391.421,-4.948
392.421,-4.948
393.421,-4.948
394.421,-4.948
395.421,-4.948
396.421,-4.948
397.421,-4.948
398.421,-4.948
399.421,-4.948
400.421,-4.948
401.421,-4.948
402.421,-4.948
403.421,-4.948
404.000,-4.133
404.000,-3.133
404.000,-2.133
404.000,-1.133
404.983,-0.948
405.983,-0.948
406.983,-0.948
407.983,-0.948
408.983,-0.948
409.983,-0.948
410.983,-0.948
411.983,-0.948
412.000,-1.948
412.000,-2.948
412.000,-3.948
412.000,-4.948
413.000,-4.948
414.000,-4.948
415.000,-4.948
416.000,-4.948
416.000,-5.948
416.000,-6.948
416.000,-7.948
416.000,-8.948
417.000,-8.948
418.000,-8.948
419.000,-8.948
420.000,-8.948
420.000,-9.948
420.000,-10.948
420.000,-11.948
420.000,-12.948
421.000,-12.948
422.000,-12.948
423.000,-12.948
424.000,-12.948
424.000,-13.948
424.000,-14.948
424.000,-15.948
424.000,-16.948
424.707,-17.655
425.414,-18.362
426.121,-19.070
426.828,-19.777
427.536,-20.484
428.421,-20.948
429.421,-20.948
430.421,-20.948
431.421,-20.948
432.000,-21.764
432.000,-22.764
432.000,-23.764
432.000,-24.764
432.983,-24.948
433.983,-24.948
434.983,-24.948
435.983,-24.948
436.000,-25.948
436.000,-26.948
436.000,-27.948
436.000,-28.948
437.000,-28.948
438.000,-28.948
439.000,-28.948
440.000,-28.948
440.000,-27.948
440.000,-26.948
440.000,-25.948
440.000,-24.948
440.000,-23.948
440.000,-22.948
440.000,-21.948
440.000,-20.948
440.000,-19.948
440.000,-18.948
440.000,-17.948
440.000,-16.948
439.000,-16.948
438.000,-16.948
437.000,-16.948
436.000,-16.948
436.000,-15.948
436.000,-14.948
436.000,-13.948
436.000,-12.948
436.000,-11.948
436.000,-10.948
436.000,-9.948
436.000,-8.948
436.000,-7.948
436.000,-6.948
436.000,-5.948
436.000,-4.948
437.000,-4.948
438.000,-4.948
439.000,-4.948
440.000,-4.948
441.000,-4.948
442.000,-4.948
443.000,-4.948
444.000,-4.948
445.000,-4.948
446.000,-4.948
447.000,-4.948
448.000,-4.948
449.000,-4.948
450.000,-4.948
451.000,-4.948
452.000,-4.948
453.000,-4.948
454.000,-4.948
455.000,-4.948
456.000,-4.948
457.000,-4.948
458.000,-4.948
459.000,-4.948
460.000,-4.948
461.000,-4.948
462.000,-4.948
463.000,-4.948
464.000,-4.948
465.000,-4.948
466.000,-4.948
467.000,-4.948
468.000,-4.948
468.000,-5.948
468.000,-6.948
468.000,-7.948
468.000,-8.948
469.000,-8.948
470.000,-8.948
471.000,-8.948
472.000,-8.948
472.000,-9.948
472.000,-10.948
472.000,-11.948
472.000,-12.948
473.000,-12.948
474.000,-12.948
475.000,-12.948
476.000,-12.948
477.000,-12.948
478.000,-12.948
479.000,-12.948
480.000,-12.948
481.000,-12.948
482.000,-12.948
483.000,-12.948
484.000,-12.948
485.000,-12.948
486.000,-12.948
487.000,-12.948
488.000,-12.948
488.000,-13.948
488.000,-14.948
488.000,-15.948
488.000,-16.948
489.000,-16.948
490.000,-16.948
491.000,-16.948
492.000,-16.948
493.000,-16.948
494.000,-16.948
495.000,-16.948
496.000,-16.948
497.000,-16.948
498.000,-16.948
499.000,-16.948
500.000,-16.948
501.000,-16.948
502.000,-16.948
503.000,-16.948
504.000,-16.948
