Reduc.:Si Powder-Reduc.,,Silicon,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
6.34000015258789,-19.6813812255859,,,
6.34999990463257,-19.1628475189209,,,
6.3600001335144,-18.6165599822998,,,
6.36999988555908,-18.0417346954346,,,
6.38000011444092,-17.4375896453857,,,
6.3899998664856,-16.8033409118652,,,
6.40000009536743,-16.1382064819336,,,
6.40999984741211,-15.4414014816284,,,
6.42000007629395,-14.7121438980103,,,
6.42999982833862,-13.9496507644653,,,
6.44000005722046,-13.1531381607056,,,
6.44999980926514,-12.3218240737915,,,
6.46000003814697,-11.4549255371094,,,
6.46999979019165,-10.5516586303711,,,
6.48000001907349,-9.61124038696289,,,
6.48999977111816,-8.632887840271,,,
6.5,-7.6158185005188,,,
6.51000022888184,-6.55924844741821,,,
6.51999998092651,-5.46239471435547,,,
6.53000020980835,-4.32447481155396,,,
6.53999996185303,-3.14470481872559,,,
6.55000019073486,-1.92230236530304,,,
6.55999994277954,-0.656484067440033,,,
6.57000017166138,0.653533041477203,,,
6.57999992370605,2.00853204727173,,,
6.59000015258789,3.40929627418518,,,
6.59999990463257,4.85660839080811,,,
6.6100001335144,6.35125207901001,,,
6.61999988555908,7.89400959014893,,,
6.63000011444092,9.48566436767578,,,
6.6399998664856,11.1269998550415,,,
6.65000009536743,12.8187990188599,,,
6.65999984741211,14.5618448257446,,,
6.67000007629395,16.3569202423096,,,
6.67999982833862,18.2048091888428,,,
6.69000005722046,20.1062927246094,,,
6.69999980926514,22.0621547698975,,,
6.71000003814697,24.0731792449951,,,
6.71999979019165,26.1401500701904,,,
6.73000001907349,28.2638473510742,,,
6.73999977111816,30.4450569152832,,,
6.75,32.6845626831055,,,
6.76000022888184,34.9831428527832,,,
6.76999998092651,37.3415832519531,,,
6.78000020980835,39.760669708252,,,
6.78999996185303,42.2411804199219,,,
6.80000019073486,44.7839012145996,,,
6.80999994277954,47.3896141052246,,,
6.82000017166138,50.0591049194336,,,
6.82999992370605,52.793155670166,,,
6.84000015258789,55.5925445556641,,,
6.84999990463257,58.4580612182617,,,
6.8600001335144,61.3904876708984,,,
6.86999988555908,64.3906021118164,,,
6.88000011444092,67.4591903686523,,,
6.8899998664856,70.597038269043,,,
6.90000009536743,73.804931640625,,,
6.90999984741211,77.0836410522461,,,
6.92000007629395,80.4339599609375,,,
6.92999982833862,83.8566665649414,,,
6.94000005722046,87.3525466918945,,,
6.94999980926514,90.4880142211914,,,
6.96000003814697,92.7511825561523,,,
6.96999979019165,94.0480651855469,,,
6.98000001907349,94.3150634765625,,,
6.98999977111816,93.5191345214844,,,
7,91.6580276489258,,,
7.01000022888184,88.7605743408203,,,
7.01999998092651,84.8870391845703,,,
7.03000020980835,80.1294784545898,,,
7.03999996185303,74.6121978759766,,,
7.05000019073486,68.4922409057617,,,
7.05999994277954,61.9598922729492,,,
7.07000017166138,55.2392997741699,,,
7.07999992370605,48.5890808105469,,,
7.09000015258789,42.3030166625977,,,
7.09999990463257,36.7107887268066,,,
7.1100001335144,32.1787490844727,,,
7.11999988555908,29.1107540130615,,,
7.13000011444092,27.9490604400635,,,
7.1399998664856,27.9200325012207,,,
7.15000009536743,27.9352226257324,,,
7.15999984741211,27.9940013885498,,,
7.17000007629395,28.0957336425781,,,
