x,y
8.13E-06,5.19E-08
8.16E-06,5.09E-08
8.18E-06,5.14E-08
8.20E-06,5.35E-08
8.23E-06,5.41E-08
8.25E-06,5.47E-08
8.27E-06,5.52E-08
8.30E-06,5.33E-08
8.32E-06,5.13E-08
8.34E-06,5.09E-08
8.37E-06,5.08E-08
8.39E-06,5.11E-08
8.41E-06,5.05E-08
8.44E-06,5.03E-08
8.46E-06,5.06E-08
8.48E-06,5.06E-08
8.51E-06,5.09E-08
8.53E-06,5.08E-08
8.55E-06,5.02E-08
8.58E-06,5.04E-08
8.60E-06,5.04E-08
8.63E-06,5.07E-08
8.65E-06,5.07E-08
8.67E-06,5.15E-08
8.70E-06,5.19E-08
8.72E-06,5.38E-08
8.74E-06,5.20E-08
8.77E-06,5.17E-08
8.79E-06,5.13E-08
8.81E-06,5.17E-08
8.84E-06,5.09E-08
8.86E-06,5.08E-08
8.88E-06,5.08E-08
8.91E-06,5.16E-08
8.93E-06,5.15E-08
8.95E-06,5.11E-08
8.98E-06,5.22E-08
9.00E-06,5.32E-08
9.02E-06,5.40E-08
9.05E-06,5.33E-08
9.07E-06,5.45E-08
9.09E-06,5.72E-08
9.12E-06,6.11E-08
9.14E-06,6.38E-08
9.16E-06,6.30E-08
9.19E-06,6.01E-08
