Cu_50% CW{1},
2θ - °,Intensity - cps
8.47999954223633,933.333312988281
8.48999977111816,1066.66662597656
8.5,1066.66662597656
8.51000022888184,1316.66662597656
8.52000045776367,1233.33337402344
8.52999973297119,1083.33337402344
8.53999996185303,1200
8.55000019073486,1166.66662597656
8.5600004196167,1100
8.56999969482422,1150
8.57999992370605,1050
8.59000015258789,1283.33337402344
8.60000038146973,1350
8.60999965667725,1200
8.61999988555908,1266.66662597656
8.63000011444092,1133.33337402344
8.64000034332275,1116.66662597656
8.64999961853027,1133.33337402344
8.65999984741211,1116.66662597656
8.67000007629395,1100
8.68000030517578,866.666687011719
8.6899995803833,1016.66668701172
8.69999980926514,1066.66662597656
8.71000003814697,1050
8.72000026702881,1016.66668701172
8.72999954223633,1250
8.73999977111816,1233.33337402344
8.75,1283.33337402344
8.76000022888184,1100
8.77000045776367,1233.33337402344
8.77999973297119,1200
8.78999996185303,1283.33337402344
8.80000019073486,1100
8.8100004196167,983.333312988281
8.81999969482422,1133.33337402344
8.82999992370605,1133.33337402344
8.84000015258789,1283.33337402344
8.85000038146973,1233.33337402344
8.85999965667725,1083.33337402344
8.86999988555908,1033.33337402344
8.88000011444092,1050
8.89000034332275,1316.66662597656
8.89999961853027,1216.66662597656
8.90999984741211,1166.66662597656
8.92000007629395,1150
8.93000030517578,1166.66662597656
8.9399995803833,1100
8.94999980926514,1250
8.96000003814697,1383.33337402344
8.97000026702881,1316.66662597656
8.97999954223633,1350
8.98999977111816,1216.66662597656
9,1500
9.01000022888184,1283.33337402344
9.02000045776367,1333.33337402344
9.02999973297119,1383.33337402344
9.03999996185303,1333.33337402344
9.05000019073486,1500
9.0600004196167,1316.66662597656
9.06999969482422,1166.66662597656
9.07999992370605,1333.33337402344
9.09000015258789,1316.66662597656
9.10000038146973,1250
9.10999965667725,1333.33337402344
9.11999988555908,1266.66662597656
9.13000011444092,1266.66662597656
9.14000034332275,1300
9.14999961853027,1433.33337402344
9.15999984741211,1416.66662597656
9.17000007629395,1366.66662597656
9.18000030517578,1150
9.1899995803833,1383.33337402344
9.19999980926514,1400
9.21000003814697,1283.33337402344
9.22000026702881,1216.66662597656
9.22999954223633,1250
9.23999977111816,1333.33337402344
9.25,1450
9.26000022888184,1450
9.27000045776367,1233.33337402344
9.27999973297119,1433.33337402344
9.28999996185303,1466.66662597656
9.30000019073486,1483.33337402344
9.3100004196167,1583.33337402344
9.31999969482422,1716.66662597656
9.32999992370605,1583.33337402344
9.34000015258789,1533.33337402344
9.35000038146973,1450
9.35999965667725,1450
9.36999988555908,1533.33337402344
9.38000011444092,1416.66662597656
9.39000034332275,1483.33337402344
9.39999961853027,1216.66662597656
9.40999984741211,1433.33337402344
9.42000007629395,1416.66662597656
9.43000030517578,1300
9.4399995803833,1583.33337402344
9.44999980926514,1516.66662597656
9.46000003814697,1333.33337402344
9.47000026702881,1483.33337402344
9.47999954223633,1716.66662597656
9.48999977111816,1616.66662597656
9.5,1633.33337402344
9.51000022888184,1500
9.52000045776367,1500
9.52999973297119,1483.33337402344
9.53999996185303,1566.66662597656
9.55000019073486,1733.33337402344
9.5600004196167,1650
9.56999969482422,1683.33337402344
9.57999992370605,1466.66662597656
9.59000015258789,1433.33337402344
9.60000038146973,1633.33337402344
9.60999965667725,1650
9.61999988555908,1583.33337402344
9.63000011444092,1500
9.64000034332275,1666.66662597656
9.64999961853027,1633.33337402344
9.65999984741211,1566.66662597656
9.67000007629395,1583.33337402344
9.68000030517578,1833.33337402344
9.6899995803833,1766.66662597656
9.69999980926514,1666.66662597656
9.71000003814697,1500
9.72000026702881,1616.66662597656
9.72999954223633,1783.33337402344
9.73999977111816,1683.33337402344
9.75,1583.33337402344
9.76000022888184,1650
9.77000045776367,1683.33337402344
9.77999973297119,1666.66662597656
9.78999996185303,1750
9.80000019073486,1650
9.8100004196167,1883.33337402344
9.81999969482422,1933.33337402344
9.82999992370605,1816.66662597656
9.84000015258789,1783.33337402344
9.85000038146973,2050
9.85999965667725,1716.66662597656
9.86999988555908,1550
9.88000011444092,1833.33337402344
9.89000034332275,1800
9.89999961853027,1800
9.90999984741211,1850
9.92000007629395,1883.33337402344
9.93000030517578,2016.66662597656
9.9399995803833,2083.33325195313
9.94999980926514,2200
9.96000003814697,1866.66662597656
9.97000026702881,1766.66662597656
9.97999954223633,1950
9.98999977111816,1883.33337402344
10,1933.33337402344
10.0100002288818,2050
10.0200004577637,1800
