Si Wafer,,Si,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps
3.54999995231628,4100,,,
3.55999994277954,4033.33325195313,,,
3.5699999332428,4066.66674804688,,,
3.57999992370605,4200,,,
3.58999991416931,3966.66674804688,,,
3.59999990463257,4033.33325195313,,,
3.60999989509583,4016.66674804688,,,
3.61999988555908,3850,,,
3.63000011444092,3933.33325195313,,,
3.64000010490417,3833.33325195313,,,
3.65000009536743,3966.66674804688,,,
3.66000008583069,4033.33325195313,,,
3.67000007629395,3966.66674804688,,,
3.6800000667572,3700,,,
3.69000005722046,4033.33325195313,,,
3.70000004768372,3816.66674804688,,,
3.71000003814697,3950,,,
3.72000002861023,4000,,,
3.73000001907349,4100,,,
3.74000000953674,4366.66650390625,,,
3.75,4350,,,
3.75999999046326,4116.66650390625,,,
3.76999998092651,3950,,,
3.77999997138977,4150,,,
3.78999996185303,4050,,,
3.79999995231628,4283.33349609375,,,
3.80999994277954,4250,,,
3.8199999332428,4533.33349609375,,,
3.82999992370605,4250,,,
3.83999991416931,3966.66674804688,,,
3.84999990463257,4100,,,
3.85999989509583,4216.66650390625,,,
3.86999988555908,4050,,,
3.88000011444092,3800,,,
3.89000010490417,3866.66674804688,,,
3.90000009536743,4233.33349609375,,,
3.91000008583069,4116.66650390625,,,
3.92000007629395,4166.66650390625,,,
3.9300000667572,3933.33325195313,,,
3.94000005722046,3983.33325195313,,,
3.95000004768372,4216.66650390625,,,
3.96000003814697,4250,,,
3.97000002861023,4166.66650390625,,,
3.98000001907349,4133.33349609375,,,
3.99000000953674,4283.33349609375,,,
4,4350,,,
4.01000022888184,4133.33349609375,,,
4.01999998092651,4200,,,
4.03000020980835,3916.66674804688,,,
4.03999996185303,3983.33325195313,,,
4.05000019073486,4216.66650390625,,,
4.05999994277954,4083.33325195313,,,
4.07000017166138,4250,,,
4.07999992370605,4233.33349609375,,,
4.09000015258789,4300,,,
4.09999990463257,4083.33325195313,,,
4.1100001335144,4283.33349609375,,,
4.11999988555908,4283.33349609375,,,
4.13000011444092,4116.66650390625,,,
4.1399998664856,4216.66650390625,,,
4.15000009536743,4050,,,
4.15999984741211,4250,,,
4.17000007629395,4166.66650390625,,,
4.17999982833862,4016.66674804688,,,
4.19000005722046,3900,,,
4.19999980926514,3883.33325195313,,,
4.21000003814697,4116.66650390625,,,
4.21999979019165,4100,,,
4.23000001907349,4150,,,
4.23999977111816,4233.33349609375,,,
4.25,4100,,,
4.26000022888184,3933.33325195313,,,
4.26999998092651,4333.33349609375,,,
4.28000020980835,4233.33349609375,,,
4.28999996185303,4100,,,
4.30000019073486,4100,,,
4.30999994277954,4016.66674804688,,,
4.32000017166138,3833.33325195313,,,
4.32999992370605,4283.33349609375,,,
4.34000015258789,4033.33325195313,,,
4.34999990463257,3850,,,
4.3600001335144,4083.33325195313,,,
4.36999988555908,4350,,,
4.38000011444092,4683.33349609375,,,
4.3899998664856,4400,,,
4.40000009536743,4100,,,
4.40999984741211,4200,,,
4.42000007629395,4133.33349609375,,,
4.42999982833862,4466.66650390625,,,
4.44000005722046,4816.66650390625,,,
4.44999980926514,4566.66650390625,,,
4.46000003814697,4516.66650390625,,,
4.46999979019165,4500,,,
4.48000001907349,4283.33349609375,,,
4.48999977111816,4583.33349609375,,,
4.5,4250,,,
4.51000022888184,4116.66650390625,,,
4.51999998092651,4450,,,
4.53000020980835,4566.66650390625,,,
4.53999996185303,3966.66674804688,,,
4.55000019073486,4000,,,
4.55999994277954,4433.33349609375,,,
4.57000017166138,4283.33349609375,,,
4.57999992370605,4216.66650390625,,,
4.59000015258789,4266.66650390625,,,
4.59999990463257,4183.33349609375,,,
4.6100001335144,4316.66650390625,,,
4.61999988555908,4266.66650390625,,,
4.63000011444092,4383.33349609375,,,
4.6399998664856,4100,,,
4.65000009536743,4383.33349609375,,,
4.65999984741211,4533.33349609375,,,
4.67000007629395,4233.33349609375,,,
4.67999982833862,4300,,,
4.69000005722046,4483.33349609375,,,
4.69999980926514,4166.66650390625,,,
4.71000003814697,4066.66674804688,,,
4.71999979019165,4500,,,
4.73000001907349,4616.66650390625,,,
4.73999977111816,4416.66650390625,,,
4.75,4483.33349609375,,,
4.76000022888184,4633.33349609375,,,
4.76999998092651,4750,,,
4.78000020980835,4683.33349609375,,,
4.78999996185303,4516.66650390625,,,
4.80000019073486,4700,,,
4.80999994277954,4500,,,
4.82000017166138,4250,,,
4.82999992370605,4100,,,
4.84000015258789,4116.66650390625,,,
4.84999990463257,4450,,,
4.8600001335144,4433.33349609375,,,
4.86999988555908,4333.33349609375,,,
4.88000011444092,4216.66650390625,,,
4.8899998664856,4350,,,
4.90000009536743,4716.66650390625,,,
4.90999984741211,4566.66650390625,,,
4.92000007629395,4216.66650390625,,,
4.92999982833862,4350,,,
4.94000005722046,4333.33349609375,,,
4.94999980926514,4283.33349609375,,,
4.96000003814697,4300,,,
4.96999979019165,4500,,,
4.98000001907349,4433.33349609375,,,
4.98999977111816,4333.33349609375,,,
5,4233.33349609375,,,
5.01000022888184,4016.66674804688,,,
5.01999998092651,4400,,,
5.03000020980835,4483.33349609375,,,
5.03999996185303,4783.33349609375,,,
5.05000019073486,4616.66650390625,,,
5.05999994277954,4483.33349609375,,,
5.07000017166138,4516.66650390625,,,
5.07999992370605,4383.33349609375,,,
5.09000015258789,4183.33349609375,,,
5.09999990463257,4266.66650390625,,,
