Residual,,Error,,Error,
2θ - °,Intensity - cps,2θ - °,Intensity - cps,2θ - °,Intensity - cps
1.11000001430511,39.9100761413574,1.11000001430511,-37.2677993774414,1.11000001430511,37.2677993774414
1.12000000476837,23.8608055114746,1.12000000476837,-33.3333320617676,1.12000000476837,33.3333320617676
1.12999999523163,57.7878608703613,1.12999999523163,-40.8248291015625,1.12999999523163,40.8248291015625
1.13999998569489,8.35820198059082,1.13999998569489,-28.8675136566162,1.13999998569489,28.8675136566162
1.14999997615814,25.5721187591553,1.14999997615814,-33.3333320617676,1.14999997615814,33.3333320617676
1.1599999666214,76.0965728759766,1.1599999666214,-44.0958557128906,1.1599999666214,44.0958557128906
1.16999995708466,9.93186378479004,1.16999995708466,-28.8675136566162,1.16999995708466,28.8675136566162
1.17999994754791,-6.25505685806274,1.17999994754791,-23.5702266693115,1.17999994754791,23.5702266693115
1.19000005722046,27.5361080169678,1.19000005722046,-33.3333320617676,1.19000005722046,33.3333320617676
1.20000004768372,11.3056535720825,1.20000004768372,-28.8675136566162,1.20000004768372,28.8675136566162
1.21000003814697,11.7205371856689,1.21000003814697,-28.8675136566162,1.21000003814697,28.8675136566162
1.22000002861023,62.114387512207,1.22000002861023,-40.8248291015625,1.22000002861023,40.8248291015625
1.23000001907349,12.4874973297119,1.23000001907349,-28.8675136566162,1.23000001907349,28.8675136566162
1.24000000953674,-3.82650589942932,1.24000000953674,-23.5702266693115,1.24000000953674,23.5702266693115
1.25,-3.49399542808533,1.25,-23.5702266693115,1.25,23.5702266693115
1.25999999046326,30.1519889831543,1.25999999046326,-33.3333320617676,1.25999999046326,33.3333320617676
1.26999998092651,-2.88825941085815,1.26999998092651,-23.5702266693115,1.26999998092651,23.5702266693115
1.27999997138977,30.7188873291016,1.27999997138977,-33.3333320617676,1.27999997138977,33.3333320617676
1.28999996185303,47.6403884887695,1.28999996185303,-37.2677993774414,1.28999996185303,37.2677993774414
1.29999995231628,14.5432033538818,1.29999995231628,-28.8675136566162,1.29999995231628,28.8675136566162
1.30999994277954,48.094295501709,1.30999994277954,-37.2677993774414,1.30999994277954,37.2677993774414
1.32000005245209,14.9606199264526,1.32000005245209,-28.8675136566162,1.32000005245209,28.8675136566162
1.33000004291534,65.1424713134766,1.33000004291534,-40.8248291015625,1.33000004291534,40.8248291015625
1.3400000333786,48.6401519775391,1.3400000333786,-37.2677993774414,1.3400000333786,37.2677993774414
1.35000002384186,15.4539451599121,1.35000002384186,-28.8675136566162,1.35000002384186,28.8675136566162
1.36000001430511,32.2508125305176,1.36000001430511,-33.3333320617676,1.36000001430511,33.3333320617676
1.37000000476837,49.0310554504395,1.37000000476837,-37.2677993774414,1.37000000476837,37.2677993774414
1.37999999523163,15.7949562072754,1.37999999523163,-28.8675136566162,1.37999999523163,28.8675136566162
1.38999998569489,32.5428161621094,1.38999998569489,-33.3333320617676,1.38999998569489,33.3333320617676
1.39999997615814,15.941593170166,1.39999997615814,-28.8675136566162,1.39999997615814,28.8675136566162
1.4099999666214,-0.675086081027985,1.4099999666214,-23.5702266693115,1.4099999666214,23.5702266693115
1.41999995708466,49.3597373962402,1.41999995708466,-37.2677993774414,1.41999995708466,37.2677993774414
1.42999994754791,66.0463638305664,1.42999994754791,-40.8248291015625,1.42999994754791,40.8248291015625
1.44000005722046,16.0517444610596,1.44000005722046,-28.8675136566162,1.44000005722046,28.8675136566162
1.45000004768372,16.0428428649902,1.45000004768372,-28.8675136566162,1.45000004768372,28.8675136566162
1.46000003814697,-33.9800453186035,1.46000003814697,-16.6666660308838,1.46000003814697,16.6666660308838
1.47000002861023,-17.3499603271484,1.47000002861023,-16.6666660308838,1.47000002861023,16.6666660308838
1.48000001907349,15.933388710022,1.48000001907349,-28.8675136566162,1.48000001907349,28.8675136566162
1.49000000953674,15.8702974319458,1.49000000953674,-28.8675136566162,1.49000000953674,28.8675136566162
1.5,-0.872274577617645,1.5,-23.5702266693115,1.5,23.5702266693115
1.50999999046326,-17.6273670196533,1.50999999046326,-16.6666660308838,1.50999999046326,16.6666660308838
1.51999998092651,-17.7280178070068,1.51999998092651,-16.6666660308838,1.51999998092651,16.6666660308838
1.52999997138977,-34.5072708129883,1.52999997138977,-16.6666660308838,1.52999997138977,16.6666660308838
1.53999996185303,-17.9648284912109,1.53999996185303,-16.6666660308838,1.53999996185303,16.6666660308838
1.54999995231628,31.899600982666,1.54999995231628,-33.3333320617676,1.54999995231628,33.3333320617676
1.55999994277954,-1.58035445213318,1.55999994277954,-23.5702266693115,1.55999994277954,23.5702266693115
1.57000005245209,-1.73773622512817,1.57000005245209,-23.5702266693115,1.57000005245209,23.5702266693115
1.58000004291534,31.4277496337891,1.58000004291534,-33.3333320617676,1.58000004291534,33.3333320617676
1.5900000333786,64.5830612182617,1.5900000333786,-40.8248291015625,1.5900000333786,40.8248291015625
1.60000002384186,31.0618343353271,1.60000002384186,-33.3333320617676,1.60000002384186,33.3333320617676
1.61000001430511,-2.46897983551025,1.61000001430511,-23.5702266693115,1.61000001430511,23.5702266693115
1.62000000476837,13.9909143447876,1.62000000476837,-28.8675136566162,1.62000000476837,28.8675136566162
1.62999999523163,-19.5581893920898,1.62999999523163,-16.6666660308838,1.62999999523163,16.6666660308838
1.63999998569489,-3.11599564552307,1.63999998569489,-23.5702266693115,1.63999998569489,23.5702266693115
1.64999997615814,-3.34887957572937,1.64999997615814,-23.5702266693115,1.64999997615814,23.5702266693115
1.6599999666214,-3.5898802280426,1.6599999666214,-23.5702266693115,1.6599999666214,23.5702266693115
1.66999995708466,12.8279628753662,1.66999995708466,-28.8675136566162,1.66999995708466,28.8675136566162
1.67999994754791,12.5716094970703,1.67999994754791,-28.8675136566162,1.67999994754791,28.8675136566162
1.69000005722046,45.6413536071777,1.69000005722046,-37.2677993774414,1.69000005722046,37.2677993774414
1.70000004768372,62.0374870300293,1.70000004768372,-40.8248291015625,1.70000004768372,40.8248291015625
1.71000003814697,-4.90635967254639,1.71000003814697,-23.5702266693115,1.71000003814697,23.5702266693115
1.72000002861023,-38.5232276916504,1.72000002861023,-16.6666660308838,1.72000002861023,16.6666660308838
1.73000001907349,-5.47949409484863,1.73000001907349,-23.5702266693115,1.73000001907349,23.5702266693115
1.74000000953674,-5.77485990524292,1.74000000953674,-23.5702266693115,1.74000000953674,23.5702266693115
1.75,-6.0757007598877,1.75,-23.5702266693115,1.75,23.5702266693115
1.75999999046326,-23.0483894348145,1.75999999046326,-16.6666660308838,1.75999999046326,16.6666660308838
1.76999998092651,9.97403430938721,1.76999998092651,-28.8675136566162,1.76999998092651,28.8675136566162
1.77999997138977,26.3251972198486,1.77999997138977,-33.3333320617676,1.77999997138977,33.3333320617676
