Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
,,0.540,8060.879,0.02120974077,898.6487179
,,0.540,8072.763,0.02120974077,899.9735786
,,0.552,8083.886,0.02168106834,901.2136009
,,0.559,8094.968,0.02195600943,902.4490524
,,0.564,8105.302,0.02215239592,903.6011148
,,0.574,8116.408,0.02254516889,904.8392419
,,0.583,8126.984,0.02289866457,906.0182832
,,0.583,8137.297,0.02289866457,907.1680045
,,0.594,8148.649,0.02333071485,908.4335563
,,0.604,8157.463,0.02372348782,909.416165
,,0.605,8166.959,0.02376276512,910.4748049
,,0.617,8177.561,0.02423409269,911.6567447
,,0.622,8187.672,0.02443047918,912.7839465
,,0.626,8196.102,0.02458758837,913.7237458
,,0.635,8206.728,0.02494108405,914.9083612
,,0.644,8216.029,0.02529457973,915.945262
,,0.647,8225.029,0.02541241163,916.9486065
,,0.656,8233.712,0.02576590731,917.9166109
,,0.665,8242.314,0.02611940299,918.8755853
,,0.668,8251.282,0.02623723488,919.8753623
,,0.676,8258.696,0.02655145326,920.7018952
,,0.687,8268.218,0.02698350353,921.7634337
,,0.693,8276.616,0.02721916732,922.6996656
,,0.699,8284.486,0.02745483111,923.5770346
,,0.708,8292.299,0.02780832679,924.4480491
,,0.711,8299.470,0.02792615868,925.2474916
,,0.721,8307.614,0.02831893166,926.1554069
,,0.732,8314.767,0.02875098193,926.9528428
,,0.738,8323.068,0.02898664572,927.8782609
,,0.741,8330.203,0.02910447761,928.6736901
,,0.750,8336.940,0.02945797329,929.4247492
,,0.757,8344.630,0.02973291438,930.2820513
,,0.765,8351.692,0.03004713276,931.0693423
,,0.775,8357.798,0.03043990573,931.7500557
,,0.778,8365.173,0.03055773763,932.5722408
,,0.787,8372.222,0.03091123331,933.3580825
,,0.800,8378.349,0.03142183818,934.0411371
,,0.799,8385.413,0.03138256088,934.8286511
,,0.809,8392.852,0.03177533386,935.657971
,,0.818,8398.396,0.03212882954,936.2760312
,,0.821,8403.667,0.03224666143,936.8636566
,,0.830,8409.034,0.03260015711,937.4619844
,,0.841,8414.796,0.03303220738,938.1043478
,,0.845,8420.832,0.03318931658,938.7772575
,,0.854,8427.969,0.03354281225,939.5729097
,,0.863,8434.215,0.03389630793,940.2692308
,,0.869,8440.049,0.03413197172,940.919621
,,0.880,8445.510,0.034564022,941.5284281
,,0.887,8450.912,0.03483896308,942.1306577
,,0.893,8456.056,0.03507462687,942.7041249
,,0.903,8460.587,0.03546739984,943.2092531
,,0.912,8467.219,0.03582089552,943.9486065
,,0.921,8471.917,0.0361743912,944.4723523
,,0.929,8477.531,0.03648860958,945.0982163
,,0.936,8483.068,0.03676355067,945.7154961
,,0.939,8487.929,0.03688138256,946.2574136
,,0.949,8491.866,0.03727415554,946.6963211
,,0.961,8495.974,0.03774548311,947.1542921
,,0.964,8501.284,0.037863315,947.7462653
,,0.973,8504.955,0.03821681068,948.1555184
,,0.979,8511.380,0.03845247447,948.8717949
,,0.985,8515.706,0.03868813826,949.3540691
,,1.000,8520.610,0.03927729772,949.9007804
,,1.004,8524.728,0.03943440691,950.3598662
,,1.010,8528.686,0.0396700707,950.8011148
,,1.022,8533.891,0.04014139827,951.3813824
,,1.028,8536.006,0.04037706206,951.6171683
,,1.031,8540.745,0.04049489395,952.1454849
,,1.046,8545.402,0.04108405342,952.66466
,,1.049,8549.866,0.04120188531,953.1623188
,,1.058,8553.634,0.04155538099,953.5823857
,,1.071,8557.789,0.04206598586,954.0455964
,,1.070,8561.062,0.04202670856,954.4104794
,,1.089,8564.285,0.04277297722,954.7697882
,,1.095,8568.598,0.04300864101,955.2506132
,,1.098,8572.669,0.0431264729,955.7044593
,,1.107,8576.579,0.04347996858,956.1403567
,,1.123,8580.237,0.04410840534,956.5481605
,,1.125,8584.428,0.04418695994,957.0153846
,,1.134,8587.011,0.04454045562,957.3033445
,,1.140,8589.822,0.0447761194,957.6167224
,,1.147,8594.156,0.04505106049,958.0998885
,,1.162,8595.880,0.04564021995,958.2920847
,,1.165,8599.851,0.04575805185,958.7347826
,,1.174,8603.902,0.04611154753,959.1863991
,,1.183,8607.255,0.04646504321,959.5602007
,,1.193,8610.274,0.04685781618,959.896767
,,1.202,8612.712,0.04721131186,960.1685619
,,1.210,8616.508,0.04752553024,960.5917503
