Time,Temp
328,247.538761
329,247.092979
330,246.677239
331,246.306063
332,245.899111
333,245.491022
334,245.102307
335,244.702563
336,244.308212
337,243.933756
338,243.515998
339,243.081605
340,242.67038
341,242.274789
342,241.870477
343,241.502267
344,241.107286
345,240.729084
346,240.339124
347,239.960001
348,239.572389
349,239.172616
350,238.795723
351,238.404513
352,238.010323
353,237.629868
354,237.25634
355,236.886864
356,236.506664
357,236.159551
358,235.779877
359,235.430902
360,235.062778
361,234.714287
362,234.340948
363,233.990829
364,233.623707
365,233.259352
366,232.897868
367,232.537189
368,232.16541
369,231.808047
370,231.461668
371,231.092758
372,230.736603
373,230.385482
374,230.017317
375,229.670321
376,229.301907
377,228.940289
378,228.582456
379,228.240587
380,227.886003
381,227.559985
382,227.223052
383,226.887613
384,226.553447
385,226.208805
386,225.905392
387,225.575042
388,225.251295
389,224.911905
390,224.602077
391,224.278906
392,223.953594
393,223.602128
394,223.26916
395,222.92859
396,222.577707
397,222.24896
398,221.929076
399,221.595576
400,221.253035
401,220.959319
402,220.662328
403,220.339973
404,220.029694
405,219.726422
406,219.412246
407,219.104776
408,218.775277
409,218.45801
410,218.155791
411,217.846695
412,217.553877
413,217.228772
414,216.922122
415,216.608189
416,216.310666
417,216.025198
418,215.7142
419,215.407711
420,215.078527
421,214.797317
422,214.499104
423,214.168143
424,213.854729
425,213.552547
426,213.233926
427,212.941223
428,212.657589
429,212.345909
430,212.045033
431,211.745878
432,211.467372
433,211.195357
434,210.917412
435,210.643187
436,210.344765
437,210.068434
438,209.77442
439,209.505644
440,209.210097
441,208.931801
442,208.643977
443,208.337919
444,208.055871
445,207.758828
446,207.466607
447,207.177202
448,206.894887
449,206.61487
450,206.351324
451,206.080423
452,205.829264
453,205.563926
454,205.295053
455,204.991445
456,204.714263
457,204.448977
458,204.18032
459,203.921529
460,203.636873
461,203.349809
462,203.094213
463,202.821833
464,202.571588
465,202.288179
466,202.018898
467,201.767198
