Total velocity (m/s),Drag coefficient 
391.589,0.84
391.915,0.84
392.239,0.839
392.561,0.839
392.882,0.838
393.201,0.838
393.519,0.837
393.834,0.837
394.148,0.836
394.455,0.836
394.766,0.835
395.075,0.835
395.383,0.834
395.69,0.833
395.994,0.833
396.298,0.832
396.6,0.832
396.9,0.831
397.199,0.831
397.496,0.83
397.791,0.83
398.086,0.829
398.378,0.829
398.669,0.828
398.959,0.827
399.247,0.827
399.574,0.826
399.859,0.826
400.143,0.825
400.424,0.825
400.705,0.824
400.984,0.824
401.261,0.823
401.538,0.823
401.812,0.822
402.086,0.822
402.358,0.821
402.629,0.821
402.899,0.82
403.167,0.82
403.434,0.819
403.7,0.819
403.964,0.818
404.228,0.818
404.49,0.817
404.682,0.817
404.941,0.816
405.2,0.816
405.457,0.815
405.714,0.815
405.968,0.814
406.222,0.814
406.475,0.813
406.726,0.813
406.976,0.812
407.226,0.812
407.474,0.811
407.721,0.811
407.967,0.81
408.212,0.81
408.455,0.809
408.698,0.809
408.94,0.809
409.181,0.808
409.42,0.808
409.78,0.807
410.017,0.806
410.253,0.806
410.488,0.806
410.722,0.805
410.955,0.805
411.187,0.804
411.418,0.804
411.648,0.803
411.877,0.803
412.105,0.802
412.333,0.802
412.56,0.802
412.785,0.801
413.01,0.801
413.235,0.8
413.458,0.8
413.681,0.799
413.903,0.799
414.124,0.799
414.344,0.798
414.563,0.798
414.871,0.797
415.088,0.797
415.305,0.796
415.52,0.796
415.735,0.796
415.949,0.795
416.162,0.795
416.374,0.794
416.585,0.794
416.795,0.794
417.005,0.793
417.214,0.793
417.422,0.793
417.629,0.792
417.835,0.792
418.04,0.791
418.245,0.791
418.449,0.791
418.652,0.79
418.854,0.79
419.055,0.79
419.256,0.789
419.455,0.789
419.655,0.789
419.95,0.788
420.148,0.788
420.344,0.787
420.54,0.787
420.735,0.787
420.93,0.786
421.123,0.786
421.316,0.786
421.509,0.785
421.7,0.785
421.891,0.785
422.081,0.784
422.271,0.784
422.46,0.784
422.648,0.783
422.835,0.783
423.022,0.783
423.208,0.783
423.393,0.782
423.577,0.782
423.761,0.782
423.944,0.781
424.127,0.781
424.308,0.781
424.49,0.78
424.67,0.78
424.85,0.78
425.018,0.78
425.197,0.779
425.375,0.779
425.553,0.779
425.73,0.778
425.906,0.778
426.082,0.778
426.257,0.778
426.432,0.777
426.607,0.777
426.78,0.777
426.953,0.777
427.126,0.776
427.298,0.776
427.469,0.776
427.64,0.775
427.81,0.775
427.98,0.775
428.149,0.775
428.317,0.775
428.485,0.774
428.652,0.774
428.819,0.774
428.985,0.774
429.151,0.773
429.316,0.773
429.481,0.773
429.645,0.773
429.808,0.773
430.073,0.772
430.235,0.772
430.397,0.772
430.558,0.772
430.719,0.771
430.88,0.771
431.039,0.771
431.199,0.771
431.357,0.771
431.516,0.77
431.674,0.77
431.831,0.77
431.988,0.77
432.144,0.77
432.3,0.769
432.455,0.769
432.61,0.769
432.765,0.769
432.919,0.769
433.072,0.768
433.225,0.768
433.377,0.768
433.529,0.768
433.681,0.768
433.831,0.767
433.982,0.767
434.132,0.767
434.281,0.767
434.43,0.767
434.578,0.767
434.726,0.766
434.874,0.766
435.113,0.766
435.259,0.766
435.405,0.766
435.55,0.766
435.695,0.765
435.839,0.765
435.983,0.765
436.127,0.765
436.27,0.765
436.412,0.765
436.554,0.764
436.696,0.764
436.837,0.764
436.978,0.764
437.118,0.764
437.258,0.764
437.398,0.763
437.537,0.763
437.675,0.763
437.814,0.763
437.951,0.763
438.089,0.763
438.226,0.763
438.363,0.762
438.499,0.762
438.635,0.762
438.77,0.762
438.905,0.762
439.04,0.762
439.174,0.762
439.308,0.761
439.441,0.761
439.575,0.761
439.707,0.761
439.84,0.761
439.972,0.761
440.134,0.76
440.266,0.76
440.396,0.76
440.527,0.76
440.657,0.76
440.787,0.76
440.916,0.76
441.045,0.759
441.174,0.759
441.302,0.759
441.43,0.759
441.558,0.759
441.685,0.759
441.812,0.759
441.938,0.759
442.065,0.758
442.19,0.758
442.316,0.758
442.441,0.758
442.566,0.758
442.691,0.758
442.817,0.758
442.942,0.757
443.067,0.757
443.192,0.757
443.317,0.757
443.442,0.757
443.567,0.757
443.692,0.757
443.817,0.757
443.942,0.756
444.067,0.756
444.192,0.756
444.317,0.756
444.442,0.756
444.567,0.756
444.692,0.756
444.817,0.755
444.942,0.755
445.139,0.755
445.264,0.755
445.388,0.755
445.513,0.755
445.638,0.755
445.763,0.754
445.888,0.754
446.013,0.754
446.138,0.754
446.263,0.754
446.387,0.754
446.512,0.754
446.637,0.754
446.762,0.753
446.887,0.753
447.011,0.753
447.136,0.753
447.261,0.753
447.386,0.753
447.511,0.753
447.635,0.752
447.76,0.752
447.885,0.752
448.009,0.752
448.134,0.752
448.259,0.752
448.384,0.752
448.508,0.752
448.633,0.751
448.758,0.751
448.882,0.751
449.007,0.751
449.132,0.751
449.256,0.751
449.381,0.751
