time_s,cg_from_tip_in
12.68,102.6184258672873
12.69,102.6184258672873
12.700000000000001,102.6184258672873
12.71,102.6184258672873
12.72,102.6184258672873
12.73,102.6184258672873
12.74,102.6184258672873
12.75,102.6184258672873
12.76,102.6184258672873
12.77,102.6184258672873
12.780000000000001,102.6184258672873
12.790000000000001,102.6184258672873
12.8,102.6184258672873
12.81,102.6184258672873
12.82,102.6184258672873
12.83,102.6184258672873
12.84,102.6184258672873
12.85,102.6184258672873
12.86,102.6184258672873
12.870000000000001,102.6184258672873
12.88,102.6184258672873
12.89,102.6184258672873
12.9,102.6184258672873
12.91,102.6184258672873
12.92,102.6184258672873
12.93,102.6184258672873
12.94,102.6184258672873
12.950000000000001,102.6184258672873
12.96,102.6184258672873
12.97,102.6184258672873
12.98,102.6184258672873
12.99,102.6184258672873
13.0,102.6184258672873
13.01,102.6184258672873
13.02,102.6184258672873
13.030000000000001,102.6184258672873
13.040000000000001,102.6184258672873
13.05,102.6184258672873
13.06,102.6184258672873
13.07,102.6184258672873
13.08,102.6184258672873
13.09,102.6184258672873
13.1,102.6184258672873
13.11,102.6184258672873
13.120000000000001,102.6184258672873
13.13,102.6184258672873
13.14,102.6184258672873
13.15,102.6184258672873
13.16,102.6184258672873
13.17,102.6184258672873
13.18,102.6184258672873
13.19,102.6184258672873
13.200000000000001,102.6184258672873
13.21,102.6184258672873
13.22,102.6184258672873
13.23,102.6184258672873
13.24,102.6184258672873
13.25,102.6184258672873
13.26,102.6184258672873
13.27,102.6184258672873
13.280000000000001,102.6184258672873
13.290000000000001,102.6184258672873
13.3,102.6184258672873
13.31,102.6184258672873
13.32,102.6184258672873
13.33,102.6184258672873
13.34,102.6184258672873
13.35,102.6184258672873
13.36,102.6184258672873
13.370000000000001,102.6184258672873
13.38,102.6184258672873
13.39,102.6184258672873
13.4,102.6184258672873
13.41,102.6184258672873
13.42,102.6184258672873
13.43,102.6184258672873
13.44,102.6184258672873
13.450000000000001,102.6184258672873
13.46,102.6184258672873
13.47,102.6184258672873
13.48,102.6184258672873
13.49,102.6184258672873
13.5,102.6184258672873
13.51,102.6184258672873
13.52,102.6184258672873
13.530000000000001,102.6184258672873
13.540000000000001,102.6184258672873
13.55,102.6184258672873
13.56,102.6184258672873
13.57,102.6184258672873
13.58,102.6184258672873
13.59,102.6184258672873
13.6,102.6184258672873
13.61,102.6184258672873
13.620000000000001,102.6184258672873
13.63,102.6184258672873
13.64,102.6184258672873
13.65,102.6184258672873
13.66,102.6184258672873
13.67,102.6184258672873
13.68,102.6184258672873
13.69,102.6184258672873
13.700000000000001,102.6184258672873
13.71,102.6184258672873
13.72,102.6184258672873
13.73,102.6184258672873
13.74,102.6184258672873
13.75,102.6184258672873
13.76,102.6184258672873
13.77,102.6184258672873
13.780000000000001,102.6184258672873
13.790000000000001,102.6184258672873
13.8,102.6184258672873
13.81,102.6184258672873
13.82,102.6184258672873
13.83,102.6184258672873
13.84,102.6184258672873
13.85,102.6184258672873
13.86,102.6184258672873
13.870000000000001,102.6184258672873
13.88,102.6184258672873
13.89,102.6184258672873
13.9,102.6184258672873
13.91,102.6184258672873
